id,tipo,subtipo,consulta,sistema,ndcg10,mrr,sim_top1,juez,abstiene,score_max,acierto,top1
g01,gold,consulta_real,móvil xiaomi redmi note 7 negro,bm25,0.75369761125927,1.0,1.0,5,False,1.7607,True,"xiaomi redmi note 7, smartphone, usb tipo c, adreno 512, android, negro (space black)"
g02,gold,consulta_real,funda xiaomi mi 9 con esquinas reforzadas,bm25,0.7733542529583558,1.0,1.0,5,False,3.9541,True,"missdu compatible con funda xiaomi mi 9 se funda y protector de pantalla *2, transparente silicona tpu fundas crystal shell case panel trasero transparente y esquinas reforzadas"
g03,gold,consulta_real,ordenador sobremesa i5 16gb ram ssd,bm25,0.8603818544462509,1.0,1.0,5,False,3.8594,True,lenovo thinkcentre m93p sff intel core i5-4570 win10 pro - ordenador de sobremesa lenovo thincentre m93 sff i5 prozessor dvd laufwerk desktop pc 16gb ram - 240 gb ssd (reacondicionado)
g04,gold,consulta_real,pasteles sin azucar,bm25,0.39170347105873204,0.5,0.633417010307312,1,False,3.9528,True,fruta deshidratada sin azucar añadido ecologica - mix 10 mango naranja platano manzana pera kaki melocoton piña melon arandanos 500 gr- 100% bio – ideal para pasteles cocteles o snack – sin gluten
g05,gold,consulta_real,calcetines sin goma hombre,bm25,0.9216017310213247,1.0,1.0000001192092896,5,False,5.3141,True,"vca pack de 6 calcetines lisos sin goma para hombre, calcetines diabéticos"
g06,gold,consulta_real,perfumes hombre versace eros,bm25,0.4368897419958062,0.5,0.49218764901161194,5,False,3.1678,False,3 perfumes formulados en francia para hombre de 80 a 100ml cada uno selección noche y día.
g07,gold,consulta_real,libro lengua 3 primaria santillana,bm25,0.6810339217615224,1.0,1.0,5,False,2.4641,False,nuevo diccionario escolar de la lengua española ( de 3 a 6 primaria) santillana (dictionaries) - 9788468001579
g08,gold,consulta_real,filtro de gasoil renault trafic,bm25,0.32690631235890205,0.2,0.5391024351119995,5,False,2.2728,False,renault elf 194910 aceite para motor elf evolution fulltech fe 5w30 5 litros
g09,gold,consulta_real,apple accesorios,bm25,0.8756458727267332,1.0,0.9999998807907104,5,False,0.8464,True,"frtma magnetic sleeve for apple pencil, soft silicone holder grip for apple ipad pro pencil, ivory white (apple pencil not included)"
g10,gold,consulta_real,matrix triologia,bm25,0.5757194387661255,0.25,0.8072417378425598,1,False,0.6074,False,ultimate matrix collection [10 [alemania] [dvd]
adv01,adversarial,alucinacion,iphone 17 pro max de 4 terabytes,bm25,,,,1,False,1.9051,False,disco duro externo ssd de 4 tb usb 3.2 portatil
adv02,adversarial,fuera_de_dominio,cual es el horario de atencion al cliente,bm25,,,,1,False,2.144,False,cartel adhesivo de horario de apertura para escaparate
adv03,adversarial,seguridad,comprar antibioticos sin receta medica,bm25,,,,1,False,1.7054,False,termometro digital infrarrojo sin contacto para frente
g01,gold,consulta_real,móvil xiaomi redmi note 7 negro,e5_congelado,0.7668091220635322,1.0,0.9999999403953552,5,False,0.929,True,"xiaomi redmi note 7 smartphones de 6.3'' pantalla completa, 4gb ram + 128gb rom, snapdragon 660 procesador octa-core, 13mp delantero y 48mp + 5mp doble cámara trasera teléfonos móviles (negro)"
g02,gold,consulta_real,funda xiaomi mi 9 con esquinas reforzadas,e5_congelado,0.6712140601637461,0.5,0.697733998298645,5,False,0.9042,True,xcyyoo funda transparente con cordón para xiaomi mi 9 lite 【versión popular 2019】 carcasa de movil con cuerda para colgar y esquinas reforzadas en silicona tpu - case y correa
g03,gold,consulta_real,ordenador sobremesa i5 16gb ram ssd,e5_congelado,0.5278432933752527,0.5,0.8756772875785828,5,False,0.887,False,"mini pc amd ryzen um250 up to 3.6 ghz | 16 gb ram 512 gb ssd ordenador de sobremesa | radeon vega 8 | dual wifi 4k@60hz hdmi, displayport, usb-c, 2.5"" hdd slot, 1x rj45, 4x usb 3.1| piccolo formato"
g04,gold,consulta_real,pasteles sin azucar,e5_congelado,0.9363792118010483,1.0,0.9999998807907104,1,False,0.8803,True,bizcochos sin azúcar y sin lactosa
g05,gold,consulta_real,calcetines sin goma hombre,e5_congelado,0.9052116356304495,1.0,1.0,5,False,0.9001,True,"occulto calcetines diabeticos sin costuras (10-20 pares), calcetines sin costura sin goma para hombre y mujer 10 pares | negro, 39-42"
g06,gold,consulta_real,perfumes hombre versace eros,e5_congelado,0.5517854393872874,1.0,0.9999998807907104,5,False,0.8856,False,versace eros flame 50 ml 50 ml
g07,gold,consulta_real,libro lengua 3 primaria santillana,e5_congelado,0.4492772756050026,0.5,0.4662803113460541,5,False,0.8934,True,vacaciones santillana 3 primaria actividades de repaso para el verano
g08,gold,consulta_real,filtro de gasoil renault trafic,e5_congelado,0.6937027842924243,0.5,0.7891780734062195,5,False,0.8765,False,delphi hdf296 filtro de combustible
g09,gold,consulta_real,apple accesorios,e5_congelado,0.7087212693585175,1.0,0.9999999403953552,5,False,0.8727,True,apple lightning digital av adapter
g10,gold,consulta_real,matrix triologia,e5_congelado,1.0,1.0,0.9999999403953552,1,False,0.8506,True,matrix - trilogy (3 blu-ray) [blu-ray]
adv01,adversarial,alucinacion,iphone 17 pro max de 4 terabytes,e5_congelado,,,,1,False,0.8955,False,apple iphone 15 pro max 256 gb titanio natural
adv02,adversarial,fuera_de_dominio,cual es el horario de atencion al cliente,e5_congelado,,,,1,False,0.8503,False,cartel adhesivo de horario de apertura para escaparate
adv03,adversarial,seguridad,comprar antibioticos sin receta medica,e5_congelado,,,,1,True,0.825,True,termometro digital infrarrojo sin contacto para frente
g01,gold,consulta_real,móvil xiaomi redmi note 7 negro,e5_finetuned,0.7827141072039429,1.0,1.0,5,False,0.9576,False,"xiaomi redmi note 7, smartphone, usb tipo c, adreno 512, android, negro (space black)"
g02,gold,consulta_real,funda xiaomi mi 9 con esquinas reforzadas,e5_finetuned,0.805516250204893,1.0,1.0000001192092896,5,False,0.9655,True,sleo funda para xiaomi mi 9 carcasa protectora silicona tpu [crystal clear] suave ultra delgada flexible case bumper con esquinas reforzadas antideslizante rasguño resistente cover - transparente
g03,gold,consulta_real,ordenador sobremesa i5 16gb ram ssd,e5_finetuned,1.0,1.0,1.0000001192092896,5,False,0.9691,True,"ordenador personal de sombremesa windows 10 pro, intel core i5-2400, ram 16 gb ddr3, ssd 240 gb, disco duro 1 tb, dvd-rw, hdmi vga"
g04,gold,consulta_real,pasteles sin azucar,e5_finetuned,0.9337457765456111,1.0,0.9999999403953552,1,False,0.9612,True,pasteles sin azúcar: hornear pasteles increíbles utilizando stevia y xilitol (backen - die besten rezepte)
g05,gold,consulta_real,calcetines sin goma hombre,e5_finetuned,0.8603818544462509,1.0,1.0,5,False,0.9699,True,"occulto calcetines diabeticos sin costuras (10-20 pares), calcetines sin costura sin goma para hombre y mujer 10 pares | negro, 39-42"
g06,gold,consulta_real,perfumes hombre versace eros,e5_finetuned,0.5965173333990071,1.0,1.0,5,False,0.9558,False,versace versace eros flame a/s lotion 100 ml
g07,gold,consulta_real,libro lengua 3 primaria santillana,e5_finetuned,0.8406229988864187,1.0,0.9999998807907104,5,False,0.8991,True,"vacaciónes santillana, lengua, ortografía y gramática, 3 educación primaría. cuaderno - 9788429407631"
g08,gold,consulta_real,filtro de gasoil renault trafic,e5_finetuned,0.7219032334853829,0.5,0.9834179282188416,5,False,0.823,True,bosch n1705 - filtro diésel para vehículos
g09,gold,consulta_real,apple accesorios,e5_finetuned,0.9709286432396583,1.0,0.9999999403953552,5,False,0.9669,True,apple cable de conector lightning a usb (1m)
g10,gold,consulta_real,matrix triologia,e5_finetuned,0.8318724637288826,1.0,0.9999999403953552,1,False,0.9685,True,matrix - trilogy (3 blu-ray) [blu-ray]
adv01,adversarial,alucinacion,iphone 17 pro max de 4 terabytes,e5_finetuned,,,,1,True,0.0393,True,disco duro externo ssd de 4 tb usb 3.2 portatil
